Crop,Commodity,2013,2014,2015,2016,2017,2018,2019
Jowar,Jowar,5.54,5.45,4.24,4.57,4.8,3.48,4.73
Bajra,Bajra,9.25,9.18,8.07,9.73,9.21,8.66,10.28
Ragi,Ragi,1.98,2.06,1.82,1.39,1.99,1.24,1.74
Small Millets,Small Millets,0.43,0.39,0.39,0.44,0.44,0.33,0.4
Maize,Maize,24.26,24.17,22.57,25.9,28.75,27.72,28.64
Barley,Barley,1.83,1.61,1.44,1.75,1.78,1.63,1.69
