Country Name,Waste,Latitude,Longitude,Organic Waste
Niger,1865645.67,16.996,9.915,38
Nigeria,27614830.07,9.3417,7.678,0
Northern Mariana Islands,32761.4145,15.1905,145.7471,43.6
Norway,2187000,61.3701,9.3031,15.49
Oman,1734885.15,19.85,56.25,27
Pakistan,30760000,28.1854,66.6429,30
Palau,9426.7455,7.5288,134.5573,26
Panama,1472262.215,8.348,-81.005,46.4
Papua New Guinea,1000000,-5.636,142.798,31
Paraguay,1818501.365,-23.266,-58.409,0
Peru,8356711.13,-12.664,-72.98,50.43
Philippines,14631922.9,17.181,121.256,52.31
Poland,10863000,52.442,19.72,37.27
Portugal,4710000,40.957,-7.9373,36.49
Puerto Rico,4170953,18.242,-66.643,13.1
Qatar,1000990.016,25.3174,51.1522,57
Romania,4895000,45.933,25.119,56.26
Russian Federation,60000000,64.736,104.062,28.41
Rwanda,4384969,-1.887,29.904,0
Samoa,27399.09,-13.6221,-172.439,42.6
San Marino,17174.68,43.942,12.4611,5.35
Saudi Arabia,16125700.58,24.191,44.32,45.5
Senegal,2454059.25,15.044,-15.081,12
Serbia,1840000,44.021,20.699,37.62
Seychelles,48000,-4.6841,55.4924,48.5
Sierra Leone,610222.09,8.677,-11.779,0
Singapore,7704300,1.3389,103.8297,10.51
Sint Maarten,0,18.034,-63.0544,46
Slovak Republic,1784000,48.8595,19.4434,42
Slovenia,926000,46.037,14.534,0
Solomon Islands,179971.9644,-9.5987,160.1487,42.8
Somalia,2326099.17,2.875,43.446,0
South Africa,18457232,-31.7,23.441,16.38165463
South Sudan,2680681,7.1,30.48,0
Spain,20151000,40.617,-3.388,49
Sri Lanka,2631650,7.3,80.727,62
St. Kitts and Nevis,32892.14,17.147,-62.58,27.2
St. Lucia,77616.228,13.909,-60.9776,45
St. Martin,15479.5,18.0848,-63.0507,0
St. Vincent and the Grenadines,31561.34925,13.2528,-61.1949,49.6
Sudan,2831291,15.739,29.533,51.4
Suriname,78619.79915,4.248,-55.848,57
Sweden,4377000,66.2188,19,23.34
Switzerland,6056000,46.7794,8.0329,29
Syrian Arab Republic,4500000,35.303,38.322,57
Tajikistan,1787400,38.367,72.597,0
Tanzania,9276995,-5.651,34.146,0
Thailand,26853366,15.688,100.845,65.52
Timor-Leste,63875,-8.856,125.556,43.6
Togo,1109030.45,7.7,1.106,38
Tonga,17238.20175,-21.167,-175.19,51.3
Trinidad and Tobago,727874,10.4435,-61.2604,27.15
Tunisia,2700000,35.594,9.421,68
Turkey,31283000,39.144,34.188,64
Turkmenistan,500000,39.584,59.597,16.18
Turks and Caicos Islands,0,21.7779,-71.7592,21.8
Tuvalu,3989.4865,-7.4786,178.6758,43.6
Uganda,7045049.836,1.9392,32.7415,74.5
Ukraine,15242025,49.364,32.132,37
United Arab Emirates,5413453.408,23.9299,53.9031,39
United Kingdom,31567000,52.289,-1.259,16.7
United States,258000000,40.0792,-98.8164,14.9
Uruguay,1260139.509,-32.948,-56.249,53.5
Uzbekistan,4000000,41.757,63.958,40
Vanuatu,70225.489,-15.339,166.89,73.4
"Venezuela, RB",9779093.14,6.983,-64.588,0
Vietnam,9570300,21.75,105.373,61.9
Virgin Islands (U.S.),146500,17.7289,-64.7592,46
West Bank and Gaza,1387000,32.097,35.26,59.1
Yemen,4836820,15.569,47.793,65
Zambia,2608268,-15.13,25.268,0
Zimbabwe,1449752,-19.098,30.047,36
