Crop,Commodity,2013,2014,2015,2016,2017,2018,2019
Tur,Tur,3.17,2.81,2.56,4.87,4.29,3.32,3.83
Gram,Gram,9.53,7.33,7.06,9.38,11.38,9.94,11.35
Urad,Urad,1.7,1.96,1.95,2.83,3.49,3.06,2.04
Moong,Moong,1.61,1.5,1.59,2.17,2.02,2.46,2.46
Lentil,Lentil,1.02,1.04,0.98,1.22,1.62,1.23,1.18
Other Rabi Pulses,Other Rabi Pulses,1.52,1.74,1.47,1.77,1.78,1.45,1.5
Other Kharif Pulses,Other Kharif Pulses,0.71,0.78,0.72,0.89,0.83,0.63,0.81
