Crop,Commodity,2013,2014,2015,2016,2017,2018,2019
Arecanut,Arecanut,622,747,714,723,833,901,828
Cashewnut,Cashewnut,753,745,671,745,817,743,691
Cocoa,Cocoa,15,16,17,19,20,24,26
Coconut,Coconut,14911,14067,15256,16486,16413,14682,14695
