Crop,Commodity,2013,2014,2015,2016,2017,2018,2019
Groundnut,Groundnut,97.14,74.02,67.33,74.62,92.53,67.27,100.96
Castorseed,Castorseed,17.27,18.7,17.52,13.76,15.68,11.97,18.49
Sesamum,Sesamum,7.15,8.28,8.5,7.47,7.55,6.89,7.5
Nigerseed,Nigerseed,0.98,0.76,0.74,0.85,0.7,0.45,0.42
Rapeseed & Mustard,Rapeseed & Mustard,78.77,62.82,67.97,79.17,84.3,92.56,91.16
Linseed,Linseed,1.42,1.55,1.26,1.84,1.74,0.99,1.09
Safflower,Safflower,1.13,0.9,0.53,0.94,0.55,0.25,0.3
Sunflower,Sunflower,5.04,4.34,2.96,2.51,2.22,2.16,2.17
Soyabean,Soyabean,118.61,103.74,85.7,131.59,109.33,132.68,112.15
